name,socket,form_factor
MSI MAG B550 TOMAHAWK,AM4,ATX
MSI B550-A PRO,AM4,ATX
Gigabyte Z790 AORUS ELITE AX,LGA1700,ATX
MSI MAG B660 TOMAHAWK WIFI DDR4,LGA1700,ATX
Gigabyte B650 AORUS ELITE AX,AM5,ATX
Asus ROG STRIX B550-A GAMING,AM4,ATX
MSI MAG Z790 TOMAHAWK WIFI,LGA1700,ATX
MSI MAG B650 TOMAHAWK WIFI,AM5,ATX
Asus TUF GAMING X570-PLUS (WI-FI),AM4,ATX
Gigabyte B650 GAMING X AX,AM5,ATX
Asus ROG STRIX B550-F GAMING WIFI II,AM4,ATX
MSI B550 GAMING GEN3,AM4,ATX
MSI PRO Z790-P WIFI,LGA1700,ATX
Gigabyte B550 AORUS ELITE AX V2,AM4,ATX
Asus ROG STRIX B650E-F GAMING WIFI,AM5,ATX
Asus ROG STRIX Z690-A GAMING WIFI D4,LGA1700,ATX
Asus TUF GAMING B550-PLUS WIFI II,AM4,ATX
MSI MPG B550 GAMING PLUS,AM4,ATX
MSI PRO B760-P WIFI DDR4,LGA1700,ATX
MSI PRO B650-P WIFI,AM5,ATX
MSI MAG Z690 TOMAHAWK WIFI DDR4,LGA1700,ATX
Asus ROG STRIX Z790-E GAMING WIFI,LGA1700,ATX
Asus PRIME Z690-P WIFI D4,LGA1700,ATX
MSI MAG X670E TOMAHAWK WIFI,AM5,ATX
Asus ROG MAXIMUS Z790 HERO,LGA1700,ATX
MSI MAG B550 TOMAHAWK MAX WIFI,AM4,ATX
Asus TUF GAMING B650-PLUS WIFI,AM5,ATX
Asus ROG STRIX X670E-E GAMING WIFI,AM5,ATX
Asus TUF GAMING Z790-PLUS WIFI,LGA1700,ATX
MSI PRO Z690-A WIFI DDR4,LGA1700,ATX
Gigabyte B550 GAMING X V2,AM4,ATX
Gigabyte B760 GAMING X AX,LGA1700,ATX
Asus ROG STRIX B550-F GAMING,AM4,ATX
Asus ROG STRIX B650-A GAMING WIFI,AM5,ATX
Asus PRIME Z790-A WIFI,LGA1700,ATX
MSI MPG Z490 GAMING EDGE WIFI,LGA1200,ATX
MSI MPG Z490 GAMING PLUS,LGA1200,ATX
ASRock B550 Phantom Gaming 4/ac,AM4,ATX
Gigabyte X670 AORUS ELITE AX (rev. 1.0),AM5,ATX
Gigabyte X570S AORUS ELITE AX,AM4,ATX
MSI MPG Z790 EDGE WIFI,LGA1700,ATX
Asus ROG STRIX Z690-E GAMING WIFI,LGA1700,ATX
ASRock H570 Phantom Gaming 4,LGA1200,ATX
Asus PRIME B550-PLUS,AM4,ATX
Gigabyte B760 AORUS ELITE AX,LGA1700,ATX
MSI PRO X670-P WIFI,AM5,ATX
Asus PRIME B660-PLUS D4,LGA1700,ATX
Asus PRIME Z790-P WIFI,LGA1700,ATX
MSI MPG B650 EDGE WIFI,AM5,ATX
MSI B450 TOMAHAWK MAX,AM4,ATX
MSI MPG X670E CARBON WIFI,AM5,ATX
ASRock Z790 PG LIGHTNING,LGA1700,ATX
Gigabyte B550 AORUS ELITE V2,AM4,ATX
Asus ROG STRIX B760-A GAMING WIFI D4,LGA1700,ATX
Asus TUF GAMING X670E-PLUS WIFI,AM5,ATX
Asus ROG STRIX B450-F GAMING,AM4,ATX
ASRock B550 Phantom Gaming 4,AM4,ATX
MSI PRO Z790-A WIFI,LGA1700,ATX
ASRock B550 Pro4,AM4,ATX
Asus ROG STRIX Z790-A GAMING WIFI,LGA1700,ATX
Asus ROG CROSSHAIR X670E HERO,AM5,ATX
MSI MAG B760 TOMAHAWK WIFI,LGA1700,ATX
ASRock X670E Steel Legend,AM5,ATX
MSI MAG X570S TOMAHAWK MAX WIFI,AM4,ATX
MSI MPG X570S EDGE MAX WIFI,AM4,ATX
Asus ROG STRIX X670E-A GAMING WIFI,AM5,ATX
Asus TUF GAMING Z690-PLUS WIFI D4,LGA1700,ATX
MSI MAG Z690 TOMAHAWK WIFI,LGA1700,ATX
MSI B760 GAMING PLUS WIFI,LGA1700,ATX
Asus PRIME B650-PLUS,AM5,ATX
MSI MEG Z790 GODLIKE,LGA1700,EATX
MSI PRO Z690-P DDR4,LGA1700,ATX
Gigabyte Z690 AORUS ELITE AX,LGA1700,ATX
MSI MPG Z790 CARBON WIFI,LGA1700,ATX
Asus ROG Crosshair VIII Dark Hero,AM4,ATX
MSI MPG Z690 EDGE WIFI DDR4,LGA1700,ATX
Asus PRIME Z390-A,LGA1151,ATX
Gigabyte B450 AORUS ELITE V2,AM4,ATX
Asus PRIME X670E-PRO WIFI,AM5,ATX
MSI MAG B760 TOMAHAWK WIFI DDR4,LGA1700,ATX
Asus ROG CROSSHAIR X670E EXTREME,AM5,EATX
Asus ROG STRIX X670E-F GAMING WIFI,AM5,ATX
Asus PRIME B760-PLUS D4,LGA1700,ATX
ASRock B660 Steel Legend,LGA1700,ATX
MSI MEG X570 UNIFY,AM4,ATX
Gigabyte Z790 UD AX,LGA1700,ATX
MSI PRO Z690-A WIFI,LGA1700,ATX
Asus ProArt X670E-CREATOR WIFI,AM5,ATX
MSI MAG Z790 TOMAHAWK WIFI DDR4,LGA1700,ATX
Asus ProArt Z790-CREATOR WIFI,LGA1700,ATX
ASRock B650 PRO RS,AM5,ATX
Asus ROG STRIX Z790-H GAMING WIFI,LGA1700,ATX
Gigabyte B550 UD AC,AM4,ATX
Asus ROG STRIX B660-A GAMING WIFI D4,LGA1700,ATX
Asus PRIME Z690-P WIFI,LGA1700,ATX
MSI B450 Gaming Plus MAX,AM4,ATX
ASRock Z790 PRO RS WIFI,LGA1700,ATX
ASRock B650E PG RIPTIDE WIFI,AM5,ATX
Gigabyte Z790 GAMING X AX,LGA1700,ATX
Asus PRIME Z790-P WIFI D4,LGA1700,ATX
Gigabyte Z690 AORUS ELITE AX DDR4,LGA1700,ATX
ASRock X670E PG Lightning,AM5,ATX
MSI PRO Z790-P WIFI DDR4,LGA1700,ATX
Asus TUF Gaming Z590-PLUS WIFI,LGA1200,ATX
ASRock X570 Steel Legend,AM4,ATX
Gigabyte X670E AORUS MASTER (rev. 1.0),AM5,EATX
MSI MEG X670E GODLIKE,AM5,EATX
Asus TUF GAMING Z790-PLUS WIFI D4,LGA1700,ATX
Gigabyte Z790 AORUS MASTER,LGA1700,EATX
Gigabyte Z790 AERO G,LGA1700,ATX
ASRock B650 PG LIGHTNING,AM5,ATX
Gigabyte Z690 UD DDR4,LGA1700,ATX
ASRock B450 Steel Legend,AM4,ATX
MSI Z390-A PRO,LGA1151,ATX
MSI MPG B650 CARBON WIFI,AM5,ATX
Asus PRIME Z690-A,LGA1700,ATX
Asus TUF GAMING B550-PLUS,AM4,ATX
Asus ROG STRIX B650E-E GAMING WIFI,AM5,ATX
ASRock X570 Phantom Gaming 4,AM4,ATX
MSI PRO B550-VC,AM4,ATX
Gigabyte Z790 UD AC,LGA1700,ATX
Asus ROG STRIX Z790-A GAMING WIFI D4,LGA1700,ATX
Asus ROG STRIX Z790-F GAMING WIFI,LGA1700,ATX
Asus ROG STRIX Z390-E GAMING,LGA1151,ATX
Gigabyte Z690 UD AX DDR4,LGA1700,ATX
Asus ROG STRIX Z690-F GAMING WIFI,LGA1700,ATX
Asus ROG STRIX Z590-E GAMING WIFI,LGA1200,ATX
MSI B450 TOMAHAWK,AM4,ATX
ASRock X570 Steel Legend WiFi ax,AM4,ATX
MSI MPG Z690 CARBON WIFI,LGA1700,ATX
Asus PRIME X670-P,AM5,ATX
Asus TUF GAMING Z690-PLUS WIFI,LGA1700,ATX
MSI MEG X670E ACE,AM5,EATX
ASRock B760 Pro RS,LGA1700,ATX
MSI PRO Z690-A DDR4,LGA1700,ATX
ASRock X670E Taichi,AM5,EATX
Asus PRIME B450-PLUS,AM4,ATX
Gigabyte B650 AORUS PRO AX,AM5,ATX
ASRock Z690 STEEL LEGEND/D5,LGA1700,ATX
ASRock Z590 Extreme WiFi 6E,LGA1200,ATX
Asus ROG STRIX X570-E GAMING WIFI II,AM4,ATX
Asus PRIME Z390-P,LGA1151,ATX
Asus ROG STRIX B550-F GAMING (WI-FI),AM4,ATX
MSI Z490-A PRO,LGA1200,ATX
Asus PRIME X570-PRO,AM4,ATX
Asus ROG MAXIMUS Z790 APEX,LGA1700,ATX
MSI MEG Z790 ACE,LGA1700,EATX
Gigabyte Z390 AORUS PRO WIFI,LGA1151,ATX
Asus TUF GAMING B660-PLUS WIFI D4,LGA1700,ATX
Gigabyte X570S AORUS MASTER,AM4,ATX
ASRock X670E Pro RS,AM5,ATX
Asus PRIME X670-P WIFI,AM5,ATX
Asus ROG STRIX B760-F GAMING WIFI,LGA1700,ATX
ASRock Z790 Steel Legend WiFi,LGA1700,ATX
Asus TUF GAMING B550-PRO,AM4,ATX
Asus TUF GAMING B760-PLUS WIFI D4,LGA1700,ATX
Gigabyte A520 AORUS ELITE,AM4,ATX
Asus PRIME X570-P,AM4,ATX
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,ATX
MSI MPG X570S CARBON MAX WIFI,AM4,ATX
ASRock X670E Taichi Carrara,AM5,EATX
Gigabyte B760 GAMING X DDR4,LGA1700,ATX
MSI PRO B660-A DDR4,LGA1700,ATX
Asus ROG Crosshair VIII Hero (WI-FI),AM4,ATX
Gigabyte Z790 AORUS XTREME,LGA1700,EATX
MSI MPG X570 GAMING PLUS,AM4,ATX
Asus Z170-A,LGA1151,ATX
MSI MPG Z790 EDGE WIFI DDR4,LGA1700,ATX
ASRock Z790 Pro RS,LGA1700,ATX
MSI MPG X570 GAMING EDGE WIFI,AM4,ATX
ASRock H670 PG Riptide,LGA1700,ATX
Asus ROG MAXIMUS Z790 EXTREME,LGA1700,EATX
ASRock B450 Pro4 R2.0,AM4,ATX
Asus TUF GAMING B650-PLUS,AM5,ATX
MSI MPG Z690 FORCE WIFI,LGA1700,ATX
Gigabyte B650 AERO G,AM5,ATX
Asus ROG Strix X570-E Gaming,AM4,ATX
Asus Prime Z590-P WiFi,LGA1200,ATX
