CPU,Socket,Benchmark
AMD Athlon Gold 3150G,AM4,6922
AMD FX-8350 Eight-Core,AM3+,6090
AMD FX-8370 Eight-Core,AM3+,6159
AMD FX-9370 Eight-Core,AM3+,6357
AMD FX-9590 Eight-Core,AM3+,6816
AMD Ryzen 3 1200,AM4,6258
AMD Ryzen 3 1300X,AM4,6920
AMD Ryzen 3 2200G,AM4,6741
AMD Ryzen 3 2300X,AM4,7550
AMD Ryzen 3 3100,AM4,11550
AMD Ryzen 3 3200G,AM4,7003
AMD Ryzen 3 3200GE,AM4,7270
AMD Ryzen 3 3300X,AM4,12603
AMD Ryzen 3 4100,AM4,11057
AMD Ryzen 3 4300G,AM4,9897
AMD Ryzen 3 4300GE,AM4,11235
AMD Ryzen 3 5300G,AM4,13039
AMD Ryzen 3 5300GE,AM4,12856
AMD Ryzen 3 8300G,AM5,14374
AMD Ryzen 5 1400,AM4,7729
AMD Ryzen 5 1500X,AM4,9070
AMD Ryzen 5 1600,AM4,12266
AMD Ryzen 5 1600X,AM4,13030
AMD Ryzen 5 2400G,AM4,8735
AMD Ryzen 5 2400GE,AM4,7191
AMD Ryzen 5 2500X,AM4,9455
AMD Ryzen 5 2600,AM4,13157
AMD Ryzen 5 2600X,AM4,13890
AMD Ryzen 5 3400G,AM4,9214
AMD Ryzen 5 3400GE,AM4,8848
AMD Ryzen 5 3500,AM4,12798
AMD Ryzen 5 3500X,AM4,13167
AMD Ryzen 5 3600,AM4,17696
AMD Ryzen 5 3600X,AM4,18147
AMD Ryzen 5 3600XT,AM4,18560
AMD Ryzen 5 4400G,AM4,17160
AMD Ryzen 5 4500,AM4,16083
AMD Ryzen 5 4600G,AM4,15988
AMD Ryzen 5 4600GE,AM4,15889
AMD Ryzen 5 5500,AM4,19322
AMD Ryzen 5 5500GT,AM4,18701
AMD Ryzen 5 5500X3D,AM4,20694
AMD Ryzen 5 5600,AM4,21541
AMD Ryzen 5 5600G,AM4,19709
AMD Ryzen 5 5600GE,AM4,18139
AMD Ryzen 5 5600GT,AM4,20306
AMD Ryzen 5 5600T,AM4,21968
AMD Ryzen 5 5600X,AM4,21849
AMD Ryzen 5 5600X3D,AM4,21890
AMD Ryzen 5 5600XT,AM4,22116
AMD Ryzen 5 7600,AM5,27033
AMD Ryzen 5 7600X,AM5,28360
AMD Ryzen 5 7600X3D,AM5,25657
AMD Ryzen 5 8400F,AM5,24544
AMD Ryzen 5 8500G,AM5,21551
AMD Ryzen 5 8500GE,AM5,21204
AMD Ryzen 5 8600G,AM5,25293
AMD Ryzen 5 9600,AM5,28807
AMD Ryzen 5 9600X,AM5,29996
AMD Ryzen 7 1800X,AM4,16311
AMD Ryzen 7 2700,AM4,15657
AMD Ryzen 7 2700X,AM4,17456
AMD Ryzen 7 3700X,AM4,22448
AMD Ryzen 7 3800X,AM4,23037
AMD Ryzen 7 3800XT,AM4,23458
AMD Ryzen 7 4700G,AM4,20146
AMD Ryzen 7 4700GE,AM4,19674
AMD Ryzen 7 5700,AM4,24320
AMD Ryzen 7 5700G,AM4,24398
AMD Ryzen 7 5700GE,AM4,21857
AMD Ryzen 7 5700X,AM4,26612
AMD Ryzen 7 5700X3D,AM4,26305
AMD Ryzen 7 5800,AM4,25816
AMD Ryzen 7 5800X,AM4,27722
AMD Ryzen 7 5800X3D,AM4,28306
AMD Ryzen 7 5800XT,AM4,27986
AMD Ryzen 7 7700,AM5,34464
AMD Ryzen 7 7700X,AM5,35636
AMD Ryzen 7 7800X3D,AM5,34294
AMD Ryzen 7 8700F,AM5,31347
AMD Ryzen 7 8700G,AM5,31649
AMD Ryzen 7 9700X,AM5,37174
AMD Ryzen 7 9800X3D,AM5,39987
AMD Ryzen 9 3900,AM4,30579
AMD Ryzen 9 3900X,AM4,32537
AMD Ryzen 9 3900XT,AM4,32571
AMD Ryzen 9 3950X,AM4,38561
AMD Ryzen 9 5900,AM4,33920
AMD Ryzen 9 5900X,AM4,38984
AMD Ryzen 9 5900XT,AM4,44083
AMD Ryzen 9 5950X,AM4,45411
AMD Ryzen 9 7900,AM5,48295
AMD Ryzen 9 7900X,AM5,51394
AMD Ryzen 9 7950X,AM5,62435
AMD Ryzen 9 7950X3D,AM5,62361
AMD Ryzen 9 9900X,AM5,54629
AMD Ryzen 9 9900X3D,AM5,56226
AMD Ryzen 9 9950X,AM5,66014
AMD Ryzen 9 9950X3D,AM5,70213
Intel CC150 @ 3.50GHz,FCLGA1151,14317
Intel Core i3-10100 @ 3.60GHz,FCLGA1200,8539
Intel Core i3-10100F @ 3.60GHz,FCLGA1200,8712
Intel Core i3-10100T @ 3.00GHz,FCLGA1200,7300
Intel Core i3-10105 @ 3.70GHz,FCLGA1200,8222
Intel Core i3-10105F @ 3.70GHz,FCLGA1200,8921
Intel Core i3-10105T @ 3.00GHz,FCLGA1200,7849
Intel Core i3-10300 @ 3.70GHz,FCLGA1200,9288
Intel Core i3-10300T @ 3.00GHz,FCLGA1200,7845
Intel Core i3-10305 @ 3.80GHz,FCLGA1200,9357
Intel Core i3-10305T @ 3.00GHz,FCLGA1200,8136
Intel Core i3-10320 @ 3.80GHz,FCLGA1200,9984
Intel Core i3-10325 @ 3.90GHz,FCLGA1200,10291
Intel Core i3-9350K @ 4.00GHz,FCLGA1151,7662
Intel Core i5-10400 @ 2.90GHz,FCLGA1200,12003
Intel Core i5-10400F @ 2.90GHz,FCLGA1200,12119
Intel Core i5-10400T @ 2.00GHz,FCLGA1200,9738
Intel Core i5-10500 @ 3.10GHz,FCLGA1200,13168
Intel Core i5-10500T @ 2.30GHz,FCLGA1200,10131
Intel Core i5-10505 @ 3.20GHz,FCLGA1200,12025
Intel Core i5-10600 @ 3.30GHz,FCLGA1200,13651
Intel Core i5-10600K @ 4.10GHz,FCLGA1200,14257
Intel Core i5-10600T @ 2.40GHz,FCLGA1200,11467
Intel Core i5-11400 @ 2.60GHz,FCLGA1200,16671
Intel Core i5-11400F @ 2.60GHz,FCLGA1200,16898
Intel Core i5-11400T @ 1.30GHz,FCLGA1200,13091
Intel Core i5-11500 @ 2.70GHz,FCLGA1200,17123
Intel Core i5-11500T @ 1.50GHz,FCLGA1200,12508
Intel Core i5-11600 @ 2.80GHz,FCLGA1200,17935
Intel Core i5-11600K @ 3.90GHz,FCLGA1200,19527
Intel Core i5-11600T @ 1.70GHz,FCLGA1200,14447
Intel Core i5-6600 @ 3.30GHz,LGA 1151,6053
Intel Core i5-6600K @ 3.50GHz,FCLGA1151,6303
Intel Core i5-7500 @ 3.40GHz,LGA1151,6028
Intel Core i5-7600 @ 3.50GHz,FCLGA1151,6558
Intel Core i5-7600K @ 3.80GHz,FCLGA1151,6803
Intel Core i5-7640X @ 4.00GHz,FCLGA2066,7060
Intel Core i7-10700 @ 2.90GHz,FCLGA1200,16149
Intel Core i7-10700F @ 2.90GHz,FCLGA1200,16198
Intel Core i7-10700K @ 3.80GHz,FCLGA1200,18587
Intel Core i7-10700T @ 2.00GHz,FCLGA1200,12874
Intel Core i7-3770 @ 3.40GHz,LGA1155,6416
Intel Core i7-3770K @ 3.50GHz,LGA1155,6490
Intel Core i7-3930K @ 3.20GHz,LGA2011,8202
Intel Core i7-3960X @ 3.30GHz,LGA2011,8400
Intel Core i7-3970X @ 3.50GHz,LGA2011,8588
Intel Core i7-4770 @ 3.40GHz,LGA1150,7052
Intel Core i7-4770K @ 3.50GHz,LGA1150,7139
Intel Core i7-4771 @ 3.50GHz,LGA1150,7142
Intel Core i7-4790 @ 3.60GHz,FCLGA1150,7265
Intel Core i7-4790K @ 4.00GHz,LGA1150,8061
